VISA,MASTERCARD
230.1800000,386.5500000
230.3000000,388.9900000
235.0000000,393.5500000
233.3300000,397.7800000
236.6000000,388.4600000
234.1900000,383.5900000
233.8700000,382.0500000
232.2800000,379.7200000
232.0300000,375.2000000
229.2500000,369.3700000
231.2200000,376.4800000
232.3000000,375.4800000
232.3000000,375.1000000
225.8800000,366.1000000
225.7400000,367.5900000
220.2900000,356.2700000
223.8100000,358.1000000
227.5000000,364.7600000
227.0000000,364.0200000
226.4100000,364.0000000
225.2100000,362.0000000
224.2100000,360.7400000
226.4100000,367.5200000
226.4200000,367.8400000
226.7000000,367.7200000
229.4500000,372.9900000
229.2200000,367.4800000
227.4600000,363.7500000
227.0300000,363.0400000
227.4000000,360.8000000
227.8000000,360.9500000
226.8500000,361.4000000
229.4000000,367.8600000
228.4200000,362.7600000
230.2000000,366.1000000
230.4400000,365.4600000
231.2600000,364.6100000
232.3000000,365.9900000
232.3000000,364.6500000
233.7400000,364.8400000
234.9900000,365.6000000
234.9900000,365.8100000
233.9700000,366.6600000
232.7500000,367.6100000
229.3000000,363.4500000
232.2700000,367.2000000
230.2800000,366.7100000
230.3300000,366.0500000
234.3200000,373.0900000
235.4600000,378.1900000
234.5200000,375.0300000
236.4500000,374.2300000
237.9900000,379.6500000
237.5000000,379.6400000
234.5600000,368.6800000
235.8700000,368.6900000
233.8500000,365.5000000
234.7000000,370.0100000
238.3500000,375.0700000
238.6800000,374.9700000
239.3500000,375.1300000
240.3900000,373.2600000
236.7000000,369.9900000
238.4700000,373.0200000
238.4700000,373.1900000
238.0000000,375.3800000
242.3500000,383.6000000
245.8700000,390.2100000
248.5800000,388.0000000
247.6300000,386.7000000
248.3000000,386.3500000
240.9800000,365.9200000
242.9400000,374.1000000
243.8600000,380.3900000
244.1300000,382.2000000
249.0200000,391.7100000
249.0000000,393.1100000
250.2200000,392.6000000
248.0600000,389.0000000
247.1800000,382.2400000
247.3100000,389.3600000
246.5200000,386.1900000
246.7900000,386.6000000
240.2400000,375.6000000
237.0600000,366.9900000
236.5700000,367.9000000
240.3000000,371.1000000
241.4500000,374.0000000
241.4000000,374.0000000
240.0000000,370.8900000
237.8200000,367.1300000
235.3300000,364.4000000
231.7000000,361.8300000
232.3500000,362.2500000
232.5500000,362.4000000
235.0000000,363.3400000
234.2100000,362.8500000
231.3100000,360.5400000
231.5400000,357.5700000
231.5900000,355.1500000
232.0000000,355.2900000
234.5900000,361.9900000
234.4000000,362.0000000
232.6500000,359.8900000
230.1200000,352.0000000
231.5800000,355.0000000
231.6400000,354.2800000
231.2000000,353.3200000
229.5000000,346.7400000
230.1200000,349.5700000
224.0800000,341.5000000
225.0100000,340.5500000
225.4300000,340.4500000
226.2400000,344.7000000
229.0900000,350.6900000
227.4600000,351.4100000
225.0500000,347.5000000
224.9800000,347.4900000
224.9900000,347.9800000
223.1000000,345.8000000
223.9000000,344.9600000
224.6400000,345.6700000
221.3800000,343.3100000
221.2000000,342.7500000
219.2500000,338.5500000
220.1500000,337.3000000
222.7800000,343.7200000
228.5000000,353.5400000
231.5800000,357.2800000
231.6000000,357.8000000
229.4000000,356.9800000
225.9400000,352.5200000
226.8700000,354.4400000
223.3100000,349.6900000
230.5100000,360.1200000
230.5000000,360.0000000
224.7000000,344.9300000
224.2000000,343.9400000
226.5000000,348.4000000
230.1300000,355.3400000
230.0000000,354.9700000
230.0200000,354.0100000
225.0000000,347.6800000
223.8000000,345.2000000
222.4600000,342.7500000
225.2100000,344.5800000
230.8000000,355.4900000
230.9000000,355.4900000
230.4500000,357.0700000
233.5200000,362.0000000
231.0200000,356.7400000
229.7500000,354.0500000
231.1600000,358.8300000
230.8900000,358.5400000
234.5300000,362.3500000
232.7500000,357.3000000
216.3000000,337.2000000
210.1200000,333.3300000
212.2000000,335.5000000
212.0000000,336.2900000
212.5500000,334.4500000
209.2600000,328.4800000
208.4400000,329.4300000
208.8800000,335.3400000
216.7400000,348.8400000
216.9000000,348.8500000
220.3500000,349.6500000
213.3100000,344.6300000
215.6900000,357.8300000
210.4700000,354.2900000
212.0000000,363.4000000
212.5000000,363.7000000
212.3000000,360.9000000
215.2100000,369.4200000
205.0900000,359.4100000
203.3000000,348.0000000
200.9100000,339.6000000
201.1400000,340.6200000
195.6000000,321.2500000
198.5000000,328.4200000
203.1700000,339.4900000
203.2500000,339.5300000
197.5000000,324.1400000
196.3000000,322.9900000
193.8500000,314.6300000
190.1600000,306.2500000
198.1400000,320.2000000
196.3400000,322.2600000
196.6100000,321.9600000
202.6200000,333.3500000
207.3800000,339.3100000
209.3800000,342.5900000
211.4100000,344.7700000
213.3200000,349.8600000
213.2000000,349.1900000
211.0600000,345.7300000
210.0000000,340.3100000
212.3000000,345.6000000
214.8300000,353.1500000
211.9200000,349.3200000
212.1800000,349.0000000
208.8300000,337.6300000
215.3700000,350.7800000
218.0100000,357.6000000
216.6700000,361.0000000
216.9800000,361.0400000
217.6700000,360.4700000
218.0000000,361.5800000
218.4800000,362.2000000
217.8300000,360.8000000
216.8500000,359.6800000
